generation,avg_fitness,highest_fitness,lowest_fitness
251,14.88,21.8,6.4
252,15.580000000000002,21.8,6.4
253,13.529999999999998,21.8,6.4
254,15.560000000000002,21.8,6.4
255,12.120000000000001,21.8,6.4
256,14.209999999999997,21.8,6.4
257,14.85,21.8,6.4
258,17.020000000000003,21.8,6.4
259,13.559999999999999,21.8,6.4
260,16.369999999999997,21.8,6.4
261,13.559999999999999,21.8,6.4
262,13.529999999999998,21.8,6.4
263,16.330000000000002,21.8,6.4
264,14.980000000000004,21.8,6.4
265,12.09,21.8,6.4
266,12.069999999999999,21.8,6.4
267,12.059999999999999,21.8,6.4
268,14.990000000000004,21.8,6.4
269,14.260000000000002,21.8,6.4
270,17.730000000000004,21.8,6.4
271,14.910000000000002,21.8,6.4
272,16.300000000000004,21.8,6.4
273,14.239999999999998,21.8,6.4
274,12.909999999999997,21.8,6.4
275,12.810000000000002,21.8,6.4
276,16.390000000000004,21.8,6.4
277,12.169999999999998,21.8,6.4
278,14.849999999999998,21.8,6.4
279,14.89,21.8,6.4
280,17.000000000000004,21.8,6.4
281,16.27,21.8,6.4
282,13.539999999999997,21.8,6.4
283,14.15,21.8,6.4
284,16.330000000000002,21.8,6.4
285,15.539999999999997,21.8,6.4
286,12.129999999999999,21.8,6.4
287,13.549999999999997,21.8,6.4
288,13.5,21.8,6.4
289,13.49,21.8,6.4
290,14.909999999999997,21.8,6.4
291,16.240000000000002,21.8,6.4
292,15.5,21.8,6.4
293,14.12,21.8,6.4
294,14.85,21.8,6.4
295,15.05,25.0,6.4
296,14.259999999999996,25.0,6.4
297,15.65,25.0,6.4
298,16.46,25.0,6.4
299,13.579999999999998,25.0,6.4
300,15.669999999999998,25.0,6.4
301,16.46,25.0,6.4
302,15.719999999999999,25.0,6.4
303,12.959999999999999,25.0,6.4
304,11.669999999999998,25.0,6.4
305,11.679999999999996,25.0,6.6
306,15.74,25.0,6.4
307,11.61,25.0,6.4
308,17.130000000000003,25.0,6.4
309,14.98,25.0,6.4
310,10.87,25.0,6.4
311,15.689999999999998,25.0,6.4
312,12.959999999999999,25.0,6.4
313,15.700000000000003,25.0,6.4
314,14.35,25.0,6.4
315,11.6,25.0,6.4
316,12.339999999999998,25.0,6.4
317,11.649999999999997,25.0,6.4
318,15.180000000000001,25.0,6.4
319,16.56,25.0,6.4
320,19.290000000000003,25.0,6.4
321,16.51,25.0,6.4
322,13.669999999999998,25.0,6.4
323,17.09,25.0,6.4
324,14.310000000000002,25.0,6.4
